Capital City	State	Abbreviation	Representative ZIP Code
Montgomery	Alabama	AL	36104
Juneau	Alaska	AK	99801
Phoenix	Arizona	AZ	85001
Little Rock	Arkansas	AR	72201
Sacramento	California	CA	95814
Denver	Colorado	CO	80202
Hartford	Connecticut	CT	6103
Dover	Delaware	DE	19901
Tallahassee	Florida	FL	32301
Atlanta	Georgia	GA	30303
Honolulu	Hawaii	HI	96813
Boise	Idaho	ID	83702
Springfield	Illinois	IL	62701
Indianapolis	Indiana	IN	46225
Des Moines	Iowa	IA	50309
Topeka	Kansas	KS	66603
Frankfort	Kentucky	KY	40601
Baton Rouge	Louisiana	LA	70802
Augusta	Maine	ME	4330
Annapolis	Maryland	MD	21401
Boston	Massachusetts	MA	2201
Lansing	Michigan	MI	48933
St. Paul	Minnesota	MN	55102
Jackson	Mississippi	MS	39205
Jefferson City	Missouri	MO	65101
Helena	Montana	MT	59623
Lincoln	Nebraska	NE	68502
Carson City	Nevada	NV	89701
Concord	New Hampshire	NH	3301
Trenton	New Jersey	NJ	8608
Santa Fe	New Mexico	NM	87501
Albany	New York	NY	12207
Raleigh	North Carolina	NC	27601
Bismarck	North Dakota	ND	58501
Columbus	Ohio	OH	43215
Oklahoma City	Oklahoma	OK	73102
Salem	Oregon	OR	97301
Harrisburg,	Pennsylvania	PA	17101
Providence	Rhode Island	RI	2903
Columbia	South Carolina	SC	29217
Pierre	South Dakota	SD	57501
Nashville	Tennessee	TN	37219
Austin	Texas	TX	78701
Salt Lake City	Utah	UT	84111
Montpelier	Vermont	VT	5602
Richmond	Virginia	VA	23219
Olympia	Washington	WA	98507
Charleston	West Virginia	WV	25301
Madison	Wisconsin	WI	53703
Cheyenne	Wyoming	WY	82001
Pago Pago	American Samoa	AS	96799
Washington	District of Columbia	DC	20001
Kolonia	Federated States of Micronesia	FM	96941
Agana (Hagåtña)	Guam	GU	96910
Majuro	Marshall Islands	MH	96960
Saipan	Northern Mariana Islands	MP	96950
Melekeok	Palau	PW	96939
San Juan	Puerto Rico	PR	901
Charlotte Amalie	Virgin Islands	VI	802
